Bedrooms,Beds,Guests_Included,p_Amenities_AIR CONDITIONING_1,p_Amenities_FAMILY/KID FRIENDLY_1
1,1,1,False,False
1,1,2,True,True
1,2,2,True,True
1,2,2,True,False
1,2,2,True,True
1,1,1,False,True
1,2,2,True,True
2,2,3,False,True
1,1,1,False,False
1,1,1,False,True
1,1,1,False,False
1,2,2,True,False
2,2,2,False,True
1,1,1,False,True
1,1,2,True,False
1,2,1,False,True
1,1,1,True,True
1,2,1,False,False
1,1,1,False,False
1,1,1,True,False
1,3,2,True,False
1,2,1,False,False
1,1,1,False,False
1,1,1,True,False
2,3,2,False,True
1,1,1,True,True
4,6,8,False,False
1,1,2,False,False
1,2,2,False,True
0,2,2,True,True
1,1,1,False,False
1,2,2,False,True
1,1,1,False,False
1,1,1,True,True
3,4,5,False,True
2,3,2,False,False
1,1,1,True,False
1,1,2,False,False
1,1,3,True,True
1,1,1,False,True
1,1,1,False,True
1,1,1,False,False
1,1,1,True,False
2,2,2,True,True
1,2,1,False,True
1,2,2,False,True
2,2,2,True,True
1,1,1,True,False
1,2,2,True,True
1,3,1,False,True
1,1,1,True,False
1,1,1,False,False
0,1,1,False,False
1,1,1,False,False
1,2,2,True,True
3,3,1,False,False
1,1,2,True,True
1,1,1,True,True
1,1,1,False,False
5,5,1,False,True
3,3,1,False,True
1,1,1,True,True
1,1,1,True,False
2,3,1,True,False
1,1,1,False,False
2,2,1,True,True
2,4,1,True,True
2,3,2,True,True
2,5,4,True,False
1,2,1,True,False
1,1,1,True,False
2,2,1,True,True
1,2,2,True,False
1,1,1,False,False
1,1,2,False,False
0,1,1,False,True
1,1,1,False,True
1,1,1,True,False
2,2,1,True,True
1,2,2,True,True
1,1,1,False,True
2,2,2,True,True
1,1,2,True,True
1,1,2,False,True
1,2,1,False,False
0,1,1,False,False
1,1,1,False,False
1,1,1,True,False
1,2,2,True,True
1,1,1,True,False
1,1,1,False,False
1,1,1,False,True
1,1,1,False,True
1,2,1,False,True
1,2,1,False,True
3,4,6,True,True
3,3,3,True,True
1,1,1,False,True
0,1,1,True,True
1,1,1,True,False
1,2,1,True,True
1,2,2,True,True
1,2,2,True,True
1,1,1,False,False
1,1,1,False,True
1,3,1,False,True
2,2,2,True,True
1,2,2,True,True
3,3,2,True,True
1,1,1,True,False
1,2,3,False,True
2,2,3,True,False
2,2,4,True,True
0,1,1,True,True
1,1,1,False,False
2,2,2,True,True
2,2,1,False,True
1,1,2,True,True
2,2,2,True,True
1,1,1,False,True
1,1,2,True,True
1,1,1,False,True
1,1,1,False,False
1,1,1,False,True
1,1,7,True,True
0,1,1,True,False
1,2,2,True,True
1,2,1,True,True
2,3,1,True,True
1,1,1,False,False
1,2,1,False,True
1,1,1,False,False
2,3,1,True,True
0,1,1,True,False
1,2,1,False,False
1,2,1,False,False
1,3,2,True,True
2,3,4,True,True
1,1,1,True,True
1,1,1,True,False
0,1,1,False,True
1,1,1,False,False
1,1,1,True,True
2,4,2,False,True
2,2,2,True,True
1,1,1,False,False
0,1,1,True,True
1,2,4,True,True
1,1,1,False,False
1,1,1,False,False
1,1,1,True,False
1,1,1,False,False
3,4,1,False,True
1,1,1,False,False
1,1,1,True,False
1,1,1,True,False
3,6,1,False,True
1,1,1,True,False
1,4,1,True,True
1,1,1,False,False
2,3,1,True,True
1,2,1,False,False
1,1,1,True,True
2,2,1,False,True
1,1,1,False,False
1,2,2,False,True
3,3,1,True,True
1,2,1,True,True
0,1,1,True,True
1,1,1,False,False
1,1,1,False,False
3,3,1,True,True
2,3,2,True,True
1,1,1,False,True
1,1,1,False,False
1,1,1,True,False
1,1,1,False,False
1,1,1,True,False
1,2,1,False,False
3,4,3,True,True
1,2,2,True,True
1,1,1,True,False
2,2,1,True,False
1,1,1,True,False
1,3,2,True,True
1,1,1,False,True
2,3,1,True,True
1,1,1,True,True
1,1,1,False,True
1,2,2,True,True
1,2,2,False,False
2,2,2,False,True
1,1,1,False,False
1,1,1,True,False
1,1,1,False,False
2,4,6,True,True
1,1,1,False,False
1,1,2,True,True
1,2,1,True,True
1,1,1,True,False
1,1,1,True,False
1,1,1,False,True
2,6,4,True,True
2,3,1,True,False
2,2,2,True,True
1,3,1,False,True
1,2,2,True,True
1,1,1,True,False
1,1,1,True,False
1,2,2,False,True
1,2,1,True,True
1,1,1,False,False
2,1,2,True,True
1,1,1,False,True
0,4,1,True,True
1,1,4,False,False
1,1,2,True,True
0,1,1,True,False
2,1,1,True,False
1,1,1,False,True
2,2,1,True,True
2,5,2,True,True
0,1,1,True,False
3,3,4,True,True
1,1,1,False,False
1,1,1,False,False
1,1,1,True,False
1,2,1,True,True
1,2,1,True,True
2,3,2,False,True
2,3,2,True,True
1,2,3,True,True
1,2,1,False,False
1,1,1,True,False
1,1,1,False,False
2,4,2,True,True
1,1,1,True,False
1,1,1,True,True
1,1,1,False,True
3,4,3,True,True
4,6,4,True,True
1,2,2,True,True
2,3,2,True,True
1,1,1,False,False
1,2,2,True,True
0,2,2,True,True
1,2,2,True,True
2,4,2,True,False
1,1,1,False,True
3,6,4,True,True
1,2,2,True,False
2,2,1,True,True
1,1,2,False,True
0,1,1,True,False
3,4,1,True,True
2,4,4,True,True
1,1,1,True,False
1,2,2,True,True
1,2,1,True,False
1,1,1,True,False
1,1,1,False,False
1,1,2,True,False
2,2,1,False,False
1,1,1,False,False
1,2,1,False,False
1,1,1,False,False
1,2,2,True,True
2,4,6,True,True
3,5,1,True,True
2,2,1,True,True
1,2,2,True,True
3,4,1,True,True
1,2,1,True,True
1,1,1,False,False
1,1,1,False,True
2,3,1,True,False
1,2,1,True,True
2,3,1,True,True
2,1,1,False,False
1,1,1,False,True
0,1,2,True,True
1,1,1,True,False
2,2,1,True,True
1,1,1,True,False
1,1,2,True,True
1,1,1,False,False
2,4,4,True,True
1,2,1,False,True
2,3,2,True,True
1,2,2,False,True
1,2,1,False,False
1,1,1,False,False
2,2,1,True,True
1,1,1,False,False
1,1,1,True,True
2,3,1,True,True
1,1,1,True,True
1,3,4,False,True
1,1,1,True,False
1,2,2,True,True
1,2,1,True,False
1,1,1,False,False
1,1,1,False,False
1,1,1,True,True
1,1,1,True,False
1,1,2,False,True
2,6,1,True,True
1,2,2,False,True
1,1,1,True,False
1,1,1,False,False
3,3,1,False,True
5,5,1,True,True
1,1,1,False,True
1,1,1,True,False
1,1,1,True,False
0,1,1,True,True
1,2,1,True,True
1,2,2,True,True
1,1,1,False,False
2,3,3,True,True
1,2,1,True,True
1,1,1,False,True
2,1,1,True,True
1,2,1,True,False
1,2,1,False,False
2,4,2,True,True
1,1,1,False,False
3,5,4,False,True
1,2,2,True,True
1,3,3,True,True
1,1,2,True,False
1,1,1,True,False
1,2,2,True,True
1,1,1,False,False
1,2,3,True,False
1,1,2,False,True
1,1,1,True,False
2,2,1,True,True
1,1,2,True,False
0,1,1,False,False
1,2,1,True,True
1,1,1,False,False
3,4,2,True,True
1,3,2,True,True
1,1,1,False,False
1,1,1,True,False
2,3,2,True,False
1,1,2,False,False
1,1,1,False,False
1,1,1,False,False
1,1,1,True,True
1,1,1,False,False
1,1,1,False,False
2,4,1,False,False
1,2,1,False,False
1,1,1,True,False
1,1,1,False,False
1,1,1,False,False
0,1,1,True,True
2,2,2,False,True
1,1,1,False,False
0,1,2,False,True
0,2,2,False,False
1,2,1,True,True
1,1,1,False,False
1,2,1,False,True
1,1,2,False,False
1,2,1,False,False
1,1,1,False,True
1,3,1,False,True
1,1,1,False,False
1,1,1,True,True
1,1,2,True,True
1,1,1,False,False
0,2,1,True,False
1,1,1,True,True
1,1,1,False,False
1,1,1,True,False
1,1,1,False,False
1,2,1,False,True
1,1,1,True,False
2,4,2,True,True
2,5,1,True,True
1,1,1,True,True
1,1,1,True,False
1,1,1,False,False
2,3,2,True,True
2,3,4,False,True
1,1,2,True,False
1,1,1,False,True
1,1,2,False,True
1,1,2,True,False
1,1,1,False,False
2,3,4,True,False
1,1,1,False,False
1,1,2,True,True
1,1,2,True,False
1,1,1,True,False
0,1,1,True,False
1,1,1,False,True
2,4,2,True,True
1,1,1,True,False
0,1,1,True,True
1,1,1,False,False
2,3,2,False,True
1,1,1,True,False
2,3,4,True,True
1,1,1,False,False
0,1,1,False,False
2,2,1,True,True
2,6,1,True,True
3,3,2,True,True
1,2,1,True,True
2,3,1,False,True
1,2,1,False,True
1,1,1,False,False
1,1,1,False,False
1,1,1,False,True
2,4,2,True,True
1,2,2,True,True
1,2,1,False,False
1,1,1,False,False
2,2,1,False,False
2,4,1,False,True
1,1,1,False,True
1,1,1,False,True
0,1,2,True,False
0,1,2,True,True
1,1,1,False,True
1,1,1,True,True
2,3,4,True,True
2,3,1,False,True
1,1,1,False,False
1,1,1,False,False
0,3,1,True,True
1,1,1,False,True
1,1,1,True,True
1,1,2,True,True
1,1,1,False,False
2,4,3,True,True
1,1,1,False,False
1,2,1,False,True
1,1,1,False,False
2,4,1,True,True
0,2,1,True,True
0,1,1,True,False
1,3,3,True,True
1,1,1,True,False
1,2,1,False,True
1,1,1,True,True
1,1,1,False,False
1,1,1,False,False
1,1,1,False,False
1,1,2,False,True
2,2,2,True,True
2,1,1,False,False
1,1,1,False,False
1,1,1,True,False
1,1,2,True,True
2,4,4,True,True
1,2,2,True,True
1,1,1,False,True
1,2,1,True,False
1,1,1,True,False
1,1,1,True,False
3,4,5,True,True
2,3,2,False,True
2,2,2,False,True
2,3,1,True,True
4,6,4,True,True
1,2,1,False,False
2,3,1,False,True
1,1,1,True,False
1,2,1,True,False
2,3,1,True,False
2,3,2,True,True
1,2,1,True,True
2,2,1,False,True
1,1,1,False,False
1,1,1,False,True
2,3,2,True,False
2,6,3,False,True
0,2,1,True,True
1,2,1,False,False
2,3,1,True,True
1,2,2,True,False
1,1,1,False,True
1,2,1,True,True
3,3,1,True,True
1,1,1,False,False
1,1,2,False,True
2,2,3,True,True
1,1,1,True,True
1,1,2,True,True
1,1,1,False,True
1,2,2,True,True
1,1,1,False,False
2,3,1,True,True
1,3,2,True,True
1,1,1,False,True
1,2,2,False,True
1,1,1,True,True
1,1,1,False,False
1,2,2,True,True
1,8,1,False,True
0,1,1,False,False
1,1,1,False,False
1,2,2,False,False
2,2,2,True,True
1,1,1,True,True
2,2,1,True,True
1,1,2,True,True
3,4,1,False,True
2,4,4,True,True
2,3,1,False,True
1,1,1,False,False
1,1,1,True,False
3,5,3,False,True
0,1,1,False,False
1,3,2,True,True
1,1,1,False,False
2,3,2,False,True
1,1,1,False,False
1,2,2,True,True
1,3,1,True,True
1,1,1,False,False
1,4,2,True,True
1,1,1,False,True
1,1,1,False,True
1,1,1,False,True
1,1,1,True,False
1,1,2,True,True
1,1,1,True,True
1,2,2,False,True
1,1,1,True,False
1,2,2,True,True
1,1,1,True,True
0,1,1,False,True
1,2,2,True,True
3,5,4,True,True
2,2,2,False,False
1,2,1,False,True
2,2,2,False,True
1,1,1,False,True
1,1,1,True,False
1,2,2,False,True
1,1,1,False,True
1,1,1,False,True
1,1,1,True,False
2,2,1,False,False
1,1,1,False,True
1,1,1,False,True
1,1,1,True,True
1,2,1,False,False
1,1,1,False,False
1,1,1,True,True
1,1,1,False,False
0,2,1,True,True
1,1,1,False,True
1,2,2,True,True
1,5,4,False,False
0,1,1,True,True
3,6,1,True,True
2,2,1,True,True
3,4,1,False,True
1,1,1,False,False
1,1,1,False,False
1,1,1,False,False
4,6,4,True,True
2,3,5,True,True
1,1,3,True,True
0,1,1,True,True
2,3,1,True,True
1,1,1,True,False
3,4,1,True,True
2,4,3,False,True
1,2,1,False,False
0,1,1,True,True
2,7,2,False,True
1,1,1,False,False
2,3,4,False,True
1,2,1,False,False
1,1,1,True,False
2,3,1,True,True
1,2,1,True,False
2,2,1,True,True
1,1,1,False,False
1,1,1,False,False
1,1,1,False,True
1,1,1,False,False
2,2,1,True,True
1,3,1,False,True
1,1,2,True,True
5,8,4,True,True
1,1,1,True,True
1,2,1,False,True
1,2,2,False,True
2,2,1,False,True
1,1,1,False,False
0,2,1,False,True
1,1,3,True,True
1,1,2,False,True
1,2,1,True,True
2,2,3,True,True
1,2,1,False,True
2,3,2,True,True
1,2,1,False,False
1,2,3,True,True
0,2,1,True,False
2,4,2,True,True
1,4,1,False,False
0,1,1,True,False
1,2,1,True,False
0,1,2,True,True
1,1,1,False,False
1,3,2,True,True
1,2,2,True,True
1,1,2,True,False
1,1,1,True,False
1,1,1,False,False
1,1,1,True,False
1,3,2,True,True
1,1,1,False,True
1,2,1,True,True
2,2,1,True,True
1,1,1,False,False
1,2,2,True,False
0,1,1,True,False
1,2,1,True,False
1,1,2,False,True
1,1,1,True,False
2,2,2,False,True
1,1,1,False,True
1,1,1,False,True
1,1,1,False,False
1,1,1,False,False
1,2,1,False,True
1,2,1,True,True
1,1,1,True,False
1,1,1,False,False
1,2,2,True,True
1,1,1,False,False
1,2,1,True,False
1,1,2,True,True
1,2,2,True,True
1,1,1,True,True
2,3,2,True,True
1,1,2,False,True
2,3,1,True,True
1,1,1,True,False
1,1,1,False,False
2,4,2,True,True
1,2,2,True,True
2,2,3,True,True
1,1,1,False,False
1,2,2,False,True
1,1,1,True,True
1,1,1,False,False
2,6,2,True,True
1,1,1,False,False
1,2,2,True,True
0,2,1,True,True
2,2,2,True,True
1,1,1,True,False
2,3,3,True,True
1,4,2,True,True
2,2,1,True,True
1,1,2,True,True
1,1,1,False,False
1,1,1,False,True
1,2,2,True,False
1,2,1,False,True
1,2,1,True,True
1,1,1,True,True
1,1,1,True,False
2,2,1,False,True
0,1,2,True,True
4,6,1,True,True
1,1,1,True,True
2,3,1,True,False
2,2,1,True,True
1,4,1,True,False
2,3,4,True,True
2,3,2,True,True
1,2,1,True,True
1,1,1,False,False
1,1,1,True,False
4,5,1,False,True
1,1,1,False,False
1,1,1,True,False
1,1,1,False,True
1,1,1,False,True
1,2,2,True,True
1,2,2,True,False
2,3,2,False,True
3,5,1,True,True
1,2,1,True,True
1,1,5,True,True
1,1,1,True,True
